B01	1	22	Welcome, course framing and learning outcomes
B02	23	52	The stepwise model: gene, epigenetic and infectious changes, and the questions it raises
B03	53	72	What cancer is: a failure of the differentiation programme
B04	73	98	Histology as a tool: normal breast, invasion, the basement membrane
B05	99	112	Culture as a tool: primary cells, HeLa, and 3D techniques
B06	113	128	Invasion: movable and immovable tumours, and why it is the key prognostic factor
B07	129	143	Metastasis: routes of spread and how it looks histologically
B08	144	171	Secondary tumours in organs; benign meningioma and fibroid against malignant leiomyosarcoma
B09	172	198	Colorectal worked example: orientation and the muscularis mucosae as proxy
B10	199	223	What invasion means diagnostically: margins, the rarity of seeding, the obligatory step
B11	224	272	Polyp against adenoma, and the two polyps that look alike
B12	273	285	Which benign tumours progress, and how a benign tumour can still kill
B13	286	302	Nomenclature: benign suffixes, carcinoma and sarcoma, and the exceptions
B14	303	331	Why cancer causes disease and death
B15	332	362	Incidence: benign tumours are common, mesenchymal malignancies rare, four big epithelial cancers
B16	363	376	Companion animals and other taxa: cancer as a disease of multicellularity
B17	377	389	Presentation in the clinic: the four horsemen, diagnostic delay, the case for screening
B18	390	438	Cervical screening: anatomy, HPV, metaplasia, dysplasia, the Pap smear and its outcomes
B19	439	457	Colorectal screening: endoscopy against the FIT test
B20	458	463	Breast and prostate screening, and their costs
B21	464	468	Close
